station_name	latitude	longitude	elevation	Instrumentation	start_date	start_time
TAP	25.038	121.506	006	A800	901207	81403
TAP	25.037	121.514	006	A800	081404	02415
TAP	25.038	121.506	104	A800	930803	81403
TAP	25.037	121.514	104	A800	081404	00000
TAP	25.038	121.506	104	A900	940101	51016
TAP	25.038	121.506	392	A900	941001	71114
TAP	25.038	121.506	238	IDS	940912	80519
TAP	25.038	121.506	418	IDSA	950606	31731
TAP	25.038	121.506	980	ETNA	980310	81403
TAP	25.037	121.514	980	ETNA	081404	02431
TAP	25.038	121.506	378	A900	980522	90201
TAP	25.038	121.506	331	A900	981126	81217
TAP	25.038	121.506	420	IDSA	980930	02322
TAP	25.038	121.506	211	IDS	980502	80519
TAP	25.038	121.506	015	A800	901207	10428
TAP	25.038	121.506	030	A800	901207	10430
TAP	25.038	121.506	031	A800	901207	10430
HSN	24.802	120.969	016	A800	910312	10831~
HSN	24.828	121.006	016	A800	910901	81403
HSN	24.828	121.014	016	A800	081404	82206
TCU	24.147	120.676	010	A800	901207	20504
TCU	24.147	120.676	077	A800	920504	81403
TCU	24.145	120.684	077	A800	081404	82130
CHY	23.497	120.424	009	A800	901207	81403
CHY	23.495	120.433	009	A800	081404	82123
ALS	23.51	120.805	014	A800	01207	0117 阿
ALS	23.51	120.805	026	A800	10117	1403 阿
ALS	23.508	120.813	026	A800	81404	2228 阿
TAI	22.993	120.197	013	A800	901207	80830
PNG	23.567	119.555	015	A800	910429	81403
PNG	23.565	119.564	015	A800	081404	82028
KAU	22.567	120.308	018	A800	910211	81403
KAU	22.565	120.316	018	A800	081404	82122
HEN	22.005	120.738	008	A800	901214	81403
HEN	22.002	120.746	008	A800	081404	82213
ILA	24.765	121.748	007	A800	901207	81403
ILA	24.763	121.756	007	A800	081404	82022
HWA	23.977	121.605	011	A800	901207	10117
HWA	23.977	121.605	017	A800	910117	50807
HWA	23.977	121.605	032	A800	910117	10211
HWA	23.977	121.605	028	A800	910211	81403
HWA	23.975	121.614	028	A800	081404	82129
HWA	23.977	121.605	086	A800	920303	30731
HWA	23.977	121.605	096	A800	920827	50807
HWA	23.977	121.605	210	IDS	921214	02225
HWA	23.977	121.605	100	SSA	921213	90930
HWA	23.977	121.605	214	K2	051601	81403
HWA	23.977	121.605	241	IDS	920729	90722
HWA	23.977	121.605	001	A900	921213	11410
HWA	23.977	121.605	430	A900	951014	60826
HWA	23.977	121.605	373	A900	031517	51820
HWA	23.977	121.605	609	REFT	051503	81403
HWA	23.975	121.614	609	REFT	081404	31827
CHK	23.098	121.365	014	A800	910227	81403
CHK	23.097	121.373	014	A800	081404	82119
TTN	22.753	121.147	012	A800	901207	81403
TTN	22.752	121.155	012	A800	081404	82119
TAW	22.357	120.895	005	A800	901207	81403
TAW	22.355	120.903	005	A800	081404	82118
LAY	22.038	121.55	011	A800	910930	81403
LAY	22.037	121.558	011	A800	081404	82223
NCU	24.968	121.186	033	A800	910205	81403
NCU	24.967	121.194	033	A800	081404	82112
SML	23.882	120.9	024	A800	10613	1403 日
SML	23.88	120.908	024	A800	81404	2221 日
NST	24.63	121.001	020	A800	10118	1403 獅
NST	24.628	121.009	020	A800	81404	2124 獅
WSF	23.637	120.222	021	A800	910206	50621
WSF	23.637	120.222	069	A800	950628	51823
WSF	23.637	120.222	034	A800	051824	81403
