station_name	lattitude	longitude	elevation	Instrumentation
TAP	25.0367	121.5138	980	ETNA
TAP	25.0383	121.5057	331	A900
TAP	25.0383	121.5057	420	IDSA
TAP	25.0383	121.5057	211	IDS
TAP	25.0383	121.5057	031	A800
HSN	24.8283	121.0142	016	A800
TCU	24.145	120.6842	077	A800
CHY	23.495	120.4325	009	A800
ALS	23.5083	120.8133	026	A800
TAI	22.9933	120.1968	013	A800
PNG	23.565	119.5637	015	A800
KAU	22.565	120.3157	018	A800
HEN	22.0017	120.7457	008	A800
ILA	24.7633	121.7563	007	A800
HWA	23.9767	121.6053	096	A800
HWA	23.9767	121.6053	100	SSA
HWA	23.9767	121.6053	214	K2
HWA	23.9767	121.6053	241	IDS
HWA	23.9767	121.6053	373	A900
HWA	23.975	121.6135	609	REFT
CHK	23.0967	121.3728	014	A800
TTN	22.7517	121.1548	012	A800
TAW	22.355	120.9035	005	A800
LAY	22.0367	121.5582	011	A800
NCU	24.9667	121.1943	033	A800
SML	23.88	120.9082	024	A800
NST	24.6283	121.0088	020	A800
WSF	23.635	120.2298	034	A800
WTC	23.8617	120.2892	022	A800
SCL	23.1733	120.2017	003	A800
SGS	23.08	120.5908	029	A800
SGL	22.7233	120.4987	084	A800
ENA	24.425	121.749	090	A800
ENA	24.4267	121.7408	578	A900
ENA	24.425	121.749	634	K2
ESL	23.8133	121.4333	098	A800
ENT	24.6367	121.5737	019	A800
NSY	24.4133	120.7697	076	A800
EHY	23.5033	121.3298	025	A800
WNT	23.875	120.6925	030	A800
WNT	23.875	120.6925	245	SMTA
WGK	23.6833	120.5703	092	A800
WTP	23.2433	120.6223	031	A800
STY	23.16	120.7658	089	A800
NSK	24.6733	121.3667	085	A800
SSD	22.7433	120.64	095	A800
EHC	24.2667	121.732	084	A800
SCZ	22.37	120.6282	072	A800
ANP	25.1817	121.5293	091	A800
TAI1	23.0367	120.2365	013	A800
TAP001	25.0383	121.5057	101	SSA
TAP001	25.0383	121.5057	242	IDS
TAP001	25.0367	121.5138	454	A900
TAP001	25.0367	121.5138	667	SMTA
TAP001	25.0367	121.5138	421	NANO
TAP002	25.1267	121.4587	243	IDS
TAP002	25.125	121.4668	995	ETNA
TAP002	25.125	121.4668	232	NANO
TAP002	25.125	121.4668	431	SMTA
TAP003	25.0867	121.449	244	IDS
TAP003	25.085	121.4572	003	ETNA
TAP003	25.085	121.4572	217	NANO
TAP004	25.1067	121.4743	245	IDS
TAP004	25.1067	121.4743	996	ETNA
TAP004	25.105	121.4827	529	A900
TAP004	25.105	121.4828	242	NANO
TAP005	25.1067	121.5057	246	IDS
TAP005	25.105	121.514	990	ETNA
TAP005	25.105	121.5152	638	K2
TAP006	25.095	121.5073	247	IDS
TAP006	25.0933	121.5157	998	ETNA
TAP006	25.0933	121.5157	631	K2
TAP006	25.0933	121.5157	318	A900
TAP006	25.0933	121.5152	305	SMTA
TAP007	25.075	121.5078	248	IDSA
TAP007	25.075	121.5078	001	ETNA
TAP007	25.0733	121.5168	138	CV57
TAP007	25.0733	121.5162	391	A900
TAP007	25.0733	121.5168	279	SMTA
TAP008	25.075	121.528	249	IDS
TAP008	25.0733	121.536	988	ETNA
TAP008	25.0733	121.536	238	K2
TAP009	25.08	121.5728	250	IDS
TAP009	25.0783	121.581	006	ETNA
TAP009	25.0783	121.5812	301	A900
TAP009	25.0783	121.581	136	SMTA
TAP010	25.0667	121.47	251	IDS
TAP010	25.065	121.4778	009	ETNA
TAP010	25.065	121.4778	234	NANO
TAP011	25.0567	121.4877	252	IDS
TAP011	25.055	121.4967	989	ETNA
TAP012	25.055	121.5085	253	IDS
TAP012	25.0533	121.5168	005	ETNA
TAP012	25.0533	121.5168	292	SMTA
TAP013	25.0567	121.5262	254	IDS
TAP013	25.0567	121.5262	000	ETNA
TAP013	25.055	121.5343	483	A900
TAP013	25.055	121.5337	287	SMTA
TAP014	25.0567	121.544	255	IDS
TAP014	25.055	121.5522	999	ETNA
TAP014	25.055	121.5522	311	A900
TAP014	25.055	121.5522	343	SMTA
TAP015	25.0517	121.5712	256	IDS
TAP015	25.0517	121.5712	999	ETNA
TAP015	25.05	121.5793	513	A900
TAP015	25.05	121.5795	115	NANO
TAP016	25.0617	121.4235	257	IDS
TAP016	25.0617	121.4312	991	ETNA
TAP016	25.06	121.4312	235	NANO
TAP017	25.0533	121.4475	258	IDS
TAP017	25.0517	121.4558	008	ETNA
TAP018	25.0333	121.4645	259	IDS
TAP019	25.0367	121.4882	260	IDS
TAP019	25.0367	121.496	578	ETNA
TAP020	25.0383	121.5267	261	IDS
TAP020	25.0367	121.5343	002	ETNA
TAP020	25.0367	121.5348	412	A900
TAP020	25.0367	121.5343	284	SMTA
TAP021	25.0367	121.5435	262	IDS
TAP021	25.035	121.552	580	ETNA
TAP021	25.035	121.552	423	SMTA
TAP022	25.0317	121.5548	289	IDS
TAP022	25.03	121.563	997	ETNA
TAP023	25.0183	121.4603	264	IDS
TAP024	25.02	121.4662	265	IDS
TAP024	25.02	121.4662	982	ETNA
TAP024	25.0183	121.4743	557	A900
TAP024	25.0183	121.4747	231	NANO
TAP025	25.025	121.4902	266	IDS
TAP025	25.0217	121.498	575	ETNA
TAP025	25.0217	121.4983	382	A900
TAP025	25.0217	121.498	278	SMTA
TAP026	25.0167	121.5033	267	IDS
TAP026	25.015	121.5117	577	ETNA
