201904180501 07.1124 3.2612133.55 20.336.3299  4.0 330.33 0.2 0.1 F674B 16180500.P19663   
 HWA027 6    4.00  143.30 226.06 382.08 223.5 39610800.MNS NANO 20190418050011.   91.     
 MND025 5    4.21  124.90 167.74 225.64  81.0 T575001.108  A900 20190418050020.  134.     
 HWA048 5    5.42   89.62 142.18 142.08  88.0 12110800.CVA CVA  20190418045941.  156.     
 HWA023 5    5.48   91.32 169.02 111.18 120.0 E8810800.SMT SMTA 20190418050000.   57.     
 HWA028 6    6.77  125.08 264.34 121.82 238.4 33510800.MNS NANO 20190418050011.  131.     
 HWA049 7    6.80  188.68 419.84 289.84 240.0 N7310800.SMT SMTA 20190418050000.  175.     
 HWA011 5    7.47  136.58 197.14 126.98  94.0 13110800.CVA CVA  20190418045956.  151.     
 TRB042 5    7.51   72.42 139.42 117.40 102.0 02510800.CVA CVA  20190418050036.  143.     
 MND006 5    7.74  112.32 202.24  68.20  69.0 T497001.108  A900 20190418050050.  123.     
 HWA050 6    8.04  199.74 254.60 248.14  87.0 11810800.CVA CVA  20190418045825.  156.     
 HWA008 5    8.66   81.06 148.34  95.04 106.0 12210800.CVA CVA  20190418050043.  149.     
 HWA015 6    9.03  192.26 345.18 295.02 229.6 46710800.MNS NANO 20190418050011.  178.     
 HWA010 5    9.51  128.04 238.02  92.80  92.0 13510800.CVA CVA  20190418045843.  152.     
 HWA013 5    9.60  110.02 221.98 125.56 300.0 N7410800.SMT SMTA 20190418050000.  155.     
 HWA026 5    9.70  137.16 144.46 232.26 223.5 39010800.MNS NANO 20190418050011.   43.     
 HWA012 5   10.08   71.04  97.62  52.48 240.0 N5410800.SMT SMTA 20190418050000.  133.     
 HWA016 6   10.14  161.42 303.06 293.30  74.0 12710800.CVA CVA  20190418050017.  175.     
 HWA007 5   10.14   94.94  83.78  71.96  88.0 12510800.CVA CVA  20190418045954.  138.     
 MND016 5   10.29  120.38 122.76  90.12  90.0 06010800.CVA CVA  20190418050133.  146.     
 HWA062 5   10.32   96.08 139.28  89.74 180.0 G7510800.SMT SMTA 20190418050000.  143.     
 HWA014 5   10.35   75.20 109.90 134.18 101.0 13610800.CVA CVA  20190418045959.  153.     
 HWA019 6   10.38  104.54 251.90 236.52 239.7 20110800.MNS NANO 20190418050012.  148.     
 HWA017 6   11.82  197.16 309.42 321.52  71.0 13410800.CVA CVA  20190418050043.  186.     
 HWA058 7   11.90  286.36 549.64 378.68 120.0 F3210800.SMT SMTA 20190418050000.  215.     
 HWA047 5   12.52  232.08   0.00 162.52 240.0 N6610800.SMT SMTA 20190418050000.   51.     
 HWA046 5   12.57  126.62 144.78 147.72 214.3 38010800.MNS NANO 20190418050012.   34.     
 HWA069 6   13.05  218.80 258.90 299.90 240.0 N7510800.SMT SMTA 20190418050000.    5.     
 HWA057 6   13.25  133.28 364.50 193.24 180.0 D2010800.SMT SMTA 20190418050000.   29.     
 HWA029 5   13.31   90.10 136.80 174.48 234.3 38810800.MNS NANO 20190418050012.  172.     
 MTN163 5   14.73   76.94 104.52  62.36  84.0 T046001.108  A900 20190418050047.  249.     
 HWA025 5   15.19  131.96 134.06 117.74 222.7 17610800.MNS NANO 20190418050012.   38.     
 MTN164 4   15.45   30.66  42.62  43.30  76.0 T158001.108  A900 20190418050037.  251.     
 HWA018 5   16.80   97.98 129.12 101.94  81.0 11110800.CVA CVA  20190418050105.  189.     
 HWA060 5   17.26   69.16 123.56 119.94 180.0 F3810800.SMT SMTA 20190418050000.  165.     
 HWA068 5   17.41   91.66 180.04 136.30 234.5 46310800.MNS NANO 20190418050012.  183.     
 HWA072 5   18.64  103.54 174.47 181.07 240.0 O6410800.SMT SMTA 20190418050000.  335.     
 MTN160 5   20.09   68.27 126.72 120.69 213.3 43110800.MNS NANO 20190418050012.  327.     
 HWA051 5   20.68  133.26 189.82 179.68 180.0 C0610800.SMT SMTA 20190418050000.  181.     
 HWA059 5   21.01  104.10 112.30 143.96 180.0 F4410800.SMT SMTA 20190418050000.  195.     
 MTN168 5   23.43  105.84 140.46 192.06  90.0 T117001.108  A900 20190418050048.  311.     
 HWA052 5   27.44   60.00 112.36 101.86  62.0 12910800.CVA CVA  20190418045943.  198.     
 MTN145 5   28.75   80.26 105.42 144.02 217.0 42310800.MNS NANO 20190418050014.  299.     
 HWA020 6   29.38   86.54 252.64 201.92 120.0 E9410800.SMT SMTA 20190418050000.  204.     
 HWA001 5   29.39   42.42 108.78 130.66 222.2 30510800.MNS NANO 20190418050015.  179.     
 HWA074 5   29.55   37.78 106.14  84.82 120.0 D3410800.SMT SMTA 20190418050000.  179.     
 TCU130 5   30.77   86.50 115.14 119.34 180.0 F4010800.SMT SMTA 20190418050000.  289.     
 HWA030 5   31.73   76.14 107.56 130.88 217.6 35610800.MNS NANO 20190418050014.  199.     
 TRB043 4   33.30   49.08  51.58  61.48  70.0 02210800.CVA CVA  20190418050019.   36.     
 HWA045 5   34.20   75.68 123.48 114.74 180.0 D0910800.SMT SMTA 20190418050000.   34.     
 HWA067 4   34.46   60.34  57.68  67.76 221.5 37910800.MNS NANO 20190418050015.  195.     
 ILA053 5   35.53   72.58 114.04  98.04 120.0 C8010800.SMT SMTA 20190418050000.   31.     
 MTN146 5   37.72   32.18  99.14 107.70  90.0 T430001.245  A900 20190418050050.  306.     
 HWA035 5   37.73   51.66 142.96  75.68 217.3 39410800.MNS NANO 20190418050015.  198.     
 HWA043 4   38.39   20.98  45.64  36.34 180.0 F1610800.SMT SMTA 20190418050000.  182.     
 MTN172 4   38.50   33.22  56.78  54.88 215.5 39910800.MNS NANO 20190418050015.  304.     
 TCU206 4   38.55   34.02  64.12  59.82 240.0 L9610800.SMT SMTA 20190418050000.  304.     
 MTN169 5   39.02   49.92 100.98  84.94  90.0 T153001.245  A900 20190418050056.  285.     
 MTN162 4   39.34   31.10  41.40  43.04 234.7 16810800.MNS NANO 20190418050016.  275.     
 TCU191 4   39.46   34.84  55.74  58.72 180.0 D1410800.SMT SMTA 20190418050000.  274.     
 MTN141 5   39.72   33.10  60.90 107.14  85.0 T077001.245  A900 20190418050055.  317.     
 TCU188 5   40.45   44.48 130.96  84.94 180.0 D2210800.SMT SMTA 20190418050000.  321.     
 TCU202 4   40.54   47.62  69.58  58.58 120.0 C8610800.SMT SMTA 20190418050000.  254.     
 HWA032 5   40.86   66.98 106.68 144.82 208.3 36510800.MNS NANO 20190418050015.  200.     
 MTN175 4   41.33   24.38  56.26  58.64  86.0 T007001.245  A900 20190418050055.  327.     
 MTN166 5   41.57   20.88  89.76  92.86 207.2 42610800.MNS NANO 20190418050016.  281.     
 HWA033 4   41.69   41.44  65.38  67.54 180.0 D3110800.SMT SMTA 20190418050000.  191.     
 MTN174 4   44.00   36.52  56.52  54.04 210.4 14710800.MNS NANO 20190418050016.  324.     
 HWA006 5   44.63   49.04  90.84 129.72  70.0 13010800.CVA CVA  20190418045948.  198.     
 HWA044 4   44.66   13.92  26.60  20.34 205.4 32710800.MNS NANO 20190418050021.  183.     
 HWA071 5   44.75   79.34 127.60 146.66 120.0 C9510800.SMT SMTA 20190418050000.  197.     
 TRB038 5   45.25  109.20 114.80 179.84  75.0 03410800.CVA CVA  20190418045457.  198.     
 ILA050 5   45.44   55.64 177.20 185.44  67.0 63403100.EVT K2   20190418050107.   25.     
 HWA005 5   45.70   34.74 119.38 146.90 228.1 37010800.MNS NANO 20190418050017.  197.     
 TCU088 5   45.80   22.60  82.50  47.74 180.0 F1410800.SMT SMTA 20190418050000.  298.     
 ILA067 5   46.12   37.24 109.92 105.68 240.0 O1110800.SMT SMTA 20190418050000.  337.     
 ILA075 5   48.66   61.86 159.44 161.70 180.0 D4010800.SMT SMTA 20190418050000.   27.     
 MTN129 4   49.85   45.10  63.86  73.42  87.0 T109001.245  A900 20190418050056.  344.     
 HWA002 3   50.68    8.94  15.76  16.42 240.0 N6510800.SMT SMTA 20190418050000.  184.     
 MTN128 5   50.78   48.14  83.70  50.04 215.7 12610800.MNS NANO 20190418050017.    6.     
 ILA065 5   51.17  102.60 154.08 229.82 180.0 E9110800.SMT SMTA 20190418050000.   26.     
 TRB044 5   51.54  134.58 200.12 126.72  76.0 01810800.CVA CVA  20190418045742.   28.     
 ILA064 5   51.80   85.78 103.08 110.18 180.0 D5710800.SMT SMTA 20190418050000.   26.     
 ILA062 5   51.81   76.72 144.04 116.64 224.5 50610800.MNS NANO 20190418050018.   28.     
 MTN181 5   53.38   25.74  83.02  90.96 217.5 18810800.MNS NANO 20190418050018.  356.     
 HWA034 4   54.67   31.68  63.28  56.28 210.1 39110800.MNS NANO 20190418050019.  199.     
 MTN167 4   57.34   35.40  31.42  47.90 213.4 11810800.MNS NANO 20190418050018.  259.     
 MTN147 4   58.55   18.72  24.76  39.84  89.0 T076001.245  A900 20190418050058.  286.     
 ILA061 5   58.73   29.82  71.52 100.10 180.0 C9810800.SMT SMTA 20190418050000.   28.     
 TCU074 3   60.70    7.76  16.10  21.28 240.0 L5210800.SMT SMTA 20190418050000.  260.     
 ILA074 4   60.90   16.86  34.50  72.28  60.0 G7610800.SMT SMTA 20190418050100.  356.     
 MTN127 4   61.24   19.90  32.02  34.84 212.2 18410800.MNS NANO 20190418050020.  346.     
 TCU073 3   61.39    5.26  10.34   8.76 240.0 B8810800.SMT SMTA 20190418050000.  266.     
 ILA063 4   61.97   25.62  73.62  53.72 240.0 O1510800.SMT SMTA 20190418050000.  357.     
 HWA066 2   63.46    4.88   7.60   6.64  48.0 12310800.CVA CVA  20190418045911.  184.     
 MTN134 4   63.73   21.58  35.74  53.44 220.6 41410800.MNS NANO 20190418050020.  336.     
 HWA003 2   64.30    4.20   7.44   6.24 240.0 N6710800.SMT SMTA 20190418050000.  185.     
 TCU198 3   64.39    7.94  15.20  14.68 240.0 M3810800.SMT SMTA 20190418050000.  268.     
 HWA036 4   64.46   13.68  28.46  20.90 208.4 35410800.MNS NANO 20190418050022.  197.     
 TCU148 3   64.54   10.66  13.22  15.26  60.0 B9610800.SMT SMTA 20190418050100.  260.     
 ILA060 5   64.57   41.32  91.68  63.86 120.0 F0310800.SMT SMTA 20190418050000.   27.     
 ILA025 5   64.65   44.68 172.56  57.50 240.0 O1710800.SMT SMTA 20190418050000.    1.     
 MTN131 5   64.70   50.10 116.70  69.70  78.0 T061001.245  A900 20190418050100.   23.     
 HWA021 4   65.29   12.72  30.36  30.34  60.0 E9510800.SMT SMTA 20190418050100.  201.     
 TCU080 3   65.49    6.80   9.48  12.88 240.0 O2210800.SMT SMTA 20190418050000.  255.     
 TCU207 3   65.85    6.26   8.22   7.12 240.0 L7810800.SMT SMTA 20190418050000.  270.     
 ILA043 5   66.10   45.96 137.40 134.96  71.0 08410800.CVA CVA  20190418050107.   16.     
 ILA076 5   66.17   60.54 158.48 106.22 120.0 F2110800.SMT SMTA 20190418050100.   14.     
 ILA031 5   66.57   47.22  98.02  94.06  66.0 08510800.CVA CVA  20190418050133.   25.     
 ILA007 5   66.67   56.92 141.00 108.94  82.0 06410800.CVA CVA  20190418050121.   27.     
 MTN139 4   66.69   24.86  35.04  53.82 210.4 42410800.MNS NANO 20190418050020.  353.     
 TCU195 4   66.80   13.26  37.10  34.82 240.0 O6210800.SMT SMTA 20190418050000.  336.     
 TRB041 5   66.87   47.66 205.92 146.12  75.0 02010802.CVA CVA  20190418050033.   25.     
 TCU203 3   67.05    6.88   9.82  11.80 240.0 N2310800.SMT SMTA 20190418050000.  292.     
 ILA071 5   67.21   51.96 165.96 115.76  72.0 09110800.CVA CVA  20190418050044.   21.     
 ILA068 5   67.31   52.68 100.88  67.92 120.0 D0610800.SMT SMTA 20190418050100.   27.     
 MTN136 4   67.46   10.76  19.56  34.96  89.0 T022001.108  A900 20190418050100.  318.     
 ILA022 4   68.48   29.06  64.56  62.06 206.5 18210800.MNS NANO 20190418050021.    8.     
 ILA052 4   68.52   26.16  49.58  63.50  60.0 E9810800.SMT SMTA 20190418050100.   26.     
 MND014 4   68.53   20.54  57.00  41.00  59.0 05910800.CVA CVA  20190418045945.   28.     
 MTN148 3   68.67    5.64   8.62   7.50  71.0 T014001.245  A900 20190418050106.  281.     
 TCU189 3   68.75    5.84   9.82   6.78 240.0 O5810800.SMT SMTA 20190418050000.  281.     
 HWA037 3   68.81   15.32  24.48  16.70 236.3 38310800.MNS NANO 20190418050024.  194.     
 ILA032 5   68.81   41.88  60.76 100.32 210.5 42010800.MNS NANO 20190418050021.   24.     
 TCU084 3   68.96    6.08  14.54  14.72 120.0 C0310800.SMT SMTA 20190418050100.  254.     
 HWA038 3   69.26    7.46  13.84   9.30 208.9 35810800.MNS NANO 20190418050023.  198.     
 ILA023 4   69.34   25.48  66.46  51.18 216.1 45410800.MNS NANO 20190418050021.    4.     
