STAID	Vs30	Z1
ALS	524.6131	60
CHK	539.6169	63.3
CHY	201.4775	410.7512
CHY001	229.88	525
CHY002	229.62	405.7
CHY003	183.18795400291	117
CHY004	272.9754	681
CHY005	211.0298	385
CHY006	422.684	54.3
CHY007	202.0474	983
CHY008	209.4972	744.7
CHY009	226.1079	261
CHY010	816.86	14
CHY011	581.469012508106	45.9
CHY012	192.2214	991.7
CHY013	216.2318	696.9
CHY014	341.8024	38
CHY015	224.7275	227
CHY016	199.4681	556
CHY017	196.0186	540
CHY018	594.6482	55
CHY019	379.336835695971	178
CHY020	214.1404	745
CHY021	212.3443	331.3
CHY022	570.0171	54
CHY023	279.7855	271.1452
CHY024	408.4967	5
CHY025	276.4977	299.8
CHY026	220.6369	295.5
CHY027	209.4952	673.6
CHY028	546.906333175338	39
CHY029	541.6629	127
CHY030	207.8786	373.9
CHY031	215.6722	559.1
CHY032	192.5669	761
CHY033	193.3239	671
CHY034	383.1418	225
CHY035	554.221319046739	166.9
CHY036	236.0532	34
CHY037	208.7755	402.2
CHY038	372.8792	311
CHY039	195.1495	264
CHY040	587.4	17
CHY041	488.1224	20
CHY042	252.29	51
CHY043	225.4114	195
CHY044	192.6659	398
CHY045	627.5494	28.5
CHY046	446.4618	152
CHY047	183.5174	284
CHY048	248.6531	195
CHY049	224.8207	242
CHY050	463.250203608814	153
CHY051	363.8789	209
CHY052	576.914251208333	113
CHY053	272.6653	281.9
CHY054	175.1108	465.4999
CHY055	221.4512	371.3945
CHY056	189.0002	394
CHY057	417.516412369606	77
CHY058	271.1252	220.1
CHY059	186.9741	985
CHY060	223.9238	366.6814
CHY061	499.94107822256	15
CHY062	597.8477	33
CHY063	287.6594	179
CHY064	351.541656818795	166
CHY065	222.6924	354
CHY066	211.492	207
CHY067	229.0426	313
CHY068	196.0493	392
CHY069	219.9817	403
CHY070	228.6673	207
CHY071	200.5214	381.6
CHY072	210.341852882608	303
CHY073	201.4775	410.7512
CHY074	524.6131	60
CHY075	817.98	8
CHY076	170.8915	749.1
CHY077	124.8959	782.4
CHY078	162.2506	290.2
CHY079	625.94	44
CHY080	499.1681	46
CHY081	487.88	25
CHY082	194.8052	527.2
CHY083	374.0182	392.8
CHY084	259.0674	157
CHY085	272.646334865343	451
CHY086	451.58	64
CHY087	508.001	44
CHY088	329.543582138738	46
CHY089	396.1965	191
CHY090	181.8788	779.2
CHY091	248	606.7
CHY092	252.2068	301.5
CHY093	191.3937	601.1
CHY094	223.1977	415.3
CHY095	216.3644	400.3
CHY096	423.014467863831	279
CHY097	341.383259056747	321
CHY098	229.208125346702	356
CHY099	217.1177	185
CHY100	344.253967728716	164
CHY101	252.3659	149
CHY102	836.1204	9
CHY103	223.6583	280
CHY104	218.8024	320.2
CHY105	204.3597	186
CHY106	227.6349	318.2
CHY107	181.0514	193
CHY108	249.6775	427
CHY109	239.95	39
CHY110	801.58	19
CHY111	269.6387	432
CHY112	239.7123	807.3
CHY113	240.6449	379
CHY114	215.0846	300
CHY115	206.317295049919	447
CHY116	194.3365	636.8
CHY117	227.638134386605	820.5
CHY118	307.978090768304	26
CHY119	498.384920445992	217.3
CHY120	220.132124423439	465
CHY121	328.58	43
CHY122	224.976211948712	386.6
CHY123	212.4491	633.3
CHY124	819.2	16
CHY125	271.644037421231	345
CHY126	332.464471580066	182
CHY128	253.851186090965	157
CHY129	210.341852882608	191
CHY131	457.68857581705	263
CHY132	513.291093475593	97.8
CHY133	499.633689378876	141
CHY134	215.921343383091	506
CHY135	576.914251208333	78
CHY136	346.4	91
EHC	501.27	109
EHY	545.911971561221	61.2193
ENA	626.57	36
ENT	669.99	13
ESL	629.590766002099	10.8
HEN	198.4127	129
HSN	427.1375	91
HWA	503.524672708963	216.1
HWA001	565.184626978146	68
HWA002	789.3698	23
HWA003	1538.0277	0.5
HWA004	319.5909	51
HWA005	445.753057832073	65.3
HWA006	557.051341565314	78.3
HWA007	378.853107015987	99
HWA008	297.029702970297	202
HWA009	461.071508089002	94
HWA010	249.677499895968	186
HWA011	360.837142169834	311
HWA012	409.7805	118
HWA013	336.757029802997	330.4
HWA014	279.955207166853	267
HWA015	445.5997	244
HWA016	579.598145285935	51.4122
HWA017	584.6815	60
HWA018	462.5699	224
HWA019	503.524672708963	216.1
HWA020	629.590766002099	10.8
HWA021	545.911971561221	61.2193
HWA022	501.27	109
HWA023	623.13	32
HWA024	693.6	29
HWA025	483.091787439614	85.7662
HWA026	460.9357	111.1
HWA027	434.5623	48.1
HWA028	404.9129	221.1
HWA029	597.1338	195
HWA030	594.059405940594	145
HWA031	593.824228028503	53
HWA032	636.26723223754	42
HWA033	392.7473	93.9
HWA034	381.7765	140
HWA035	686.106346483705	29
HWA036	520.60737527115	70.0017
HWA037	466.52670865407	244
HWA038	661.5215	8
HWA039	504.91469133348	101
HWA040	438.5965	112
HWA041	481.85030517186	123
HWA042	547.989922185527	74
HWA043	544.464609800363	52
HWA044	533.049040511727	36
HWA045	472.775982980065	179
HWA046	643.7078	119.5
HWA047	543.67524465386	141
HWA048	349.7937	255
HWA049	509.337860780985	203
HWA050	343.439358000428	188.8793
HWA051	449.7421	67
HWA052	576.4802	90.1
HWA053	829.072820229377	18
HWA054	521.599693814965	69.6315
HWA055	524.434380851834	101
HWA056	516.44	12
HWA057	814.87	8.3
HWA058	525.6702	71
HWA059	265.844129730809	131
HWA060	555.88	36
HWA061	242.057031236091	313.1
HWA062	605.693519079346	204
HWA063	288.926347074731	257.6152
HWA064	428.46	40
HWA065	371.260038318534	161.0089
HWA066	428.22279202825	116.3933
ILA	242.409953223941	611
ILA001	939.1154	10.5
ILA002	220.6775	242
ILA003	265.5528	293.405
ILA004	121.4493	1126
ILA005	237.2093	635
ILA006	276.3703	276.3539
ILA007	432.3545	58
